ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
04020,9823,1083,6000,14047,299,
00881,9823,841,6000,14047,299,193
01436,9823,765,6000,14047,299,2522
01075,9823,494,6000,14047,299,
01709,9823,494,6000,14047,299,
01710,9823,494,6000,14048,3668,2045
03139,9823,494,6000,14048,3668,
01224,9823,494,6000,14048,3668,
03140,9823,494,6000,14048,3668,
01110,9823,341,6000,14048,3668,9
01290,9824,2020,6000,14049,46,54
00017,9824,1585,6000,14049,46,4
01404,9824,1572,6000,14049,46,22
01435,9824,765,6000,14049,46,22
04017,9824,1297,6000,14050,3936,6123
02211,9824,761,6000,14050,3936,521
02371,9825,2341,6000,14051,83,921
01197,9825,1175,6000,14051,83,618
01393,9825,948,6000,14051,83,59
01327,9825,862,6000,14051,83,2191
02374,9825,576,6000,14051,83,
01358,9825,862,6000,14052,3893,
01347,9825,742,6000,14052,3893,4059
01223,9825,494,6000,14052,3893,
01195,9826,3718,6000,14053,668,148
01425,9826,1608,6000,14053,668,322
04014,9826,1144,6000,14054,3317,
01433,9826,765,6000,14054,3317,
01434,9826,765,6000,14054,3317,
01284,9827,1608,6000,14055,1167,5594
01297,9827,1608,6000,14055,1167,3
01326,9827,1608,6000,14055,1167,385
00006,9827,1585,6000,14056,2824,2801
00016,9827,1585,6000,14056,2824,
01423,9828,2698,6000,14057,679,322
01410,9828,2273,6000,14057,679,
01109,9828,341,6000,14057,679,10325
00005,9828,1585,6000,14058,3314,80
04013,9828,1095,6000,14058,3314,
01399,9829,2273,6000,14059,548,1914
00002,9829,1585,6000,14059,548,617
00003,9829,1585,6000,14059,548,26
00004,9829,1585,6000,14060,3446,617
01362,9829,963,6000,14060,3446,1483
01941,9830,2925,6000,14061,371,1850
00897,9830,2698,6000,14061,371,3324
01395,9830,2273,6000,14062,3724,4595
00015,9831,3718,6000,14063,2279,105
00020,9831,3718,6000,14064,2279,2820
00013,9832,3718,6000,14065,2279,2467
00014,9832,3718,6000,14066,2279,198
00011,9833,3718,6000,14067,2279,2973
00012,9833,3718,6000,14068,2279,2467
00009,9834,3718,6000,14069,2279,3116
00010,9834,3718,6000,14070,2279,249
00899,9835,7315,8000,14071,682,
01285,9836,7314,8000,14072,683,1448
01275,9837,7314,8000,14073,683,6639
00976,9838,7314,8000,14074,683,174
01407,9839,6142,8000,14075,1855,1858
01394,9840,2273,6000,14076,3724,4521
03278,9841,1217,6000,14077,3390,2494
02207,9841,864,6000,14077,3390,5968
00898,9841,520,6000,14077,3390,3324
02200,9842,864,6000,14078,5133,112
00304,9843,2741,6000,14079,536,
01324,9843,2717,6000,14079,536,7
01365,9844,2641,6000,14080,758,5
00901,9844,2595,6000,14080,758,4747
00916,9844,2594,6000,14081,20,7
00299,9844,1736,6000,14081,20,220
01429,9844,1641,6000,14081,20,
01113,9844,1595,6000,14082,4402,2348
00915,9845,1595,6000,14083,2804,7
00961,9845,1595,6000,14083,2804,32
00887,9846,4509,6000,14084,1488,10756
00893,9846,4509,6000,14085,1488,918
00896,9847,1680,6000,14086,4317,7
01432,9848,4509,6000,14087,305,
00895,9848,1180,6000,14087,305,2641
03981,9849,493,6000,14088,3657,
04484,9849,493,6000,14088,3657,3672
03986,9849,492,6000,14088,3657,4295
03984,9849,425,6000,14088,3657,3672
03985,9849,425,6000,14088,3657,3672
04460,9850,409,6000,14089,4352,365
04461,9850,409,6000,14089,4352,365
04462,9850,409,6000,14089,4352,365
04463,9850,409,6000,14089,4352,365
04395,9851,494,6000,14090,3518,49
04401,9851,494,6000,14090,3518,49
00810,9851,493,6000,14090,3518,951
00811,9851,493,6000,14090,3518,2775
04516,9851,493,6000,14090,3518,49
04517,9852,164,6000,14091,5833,44
02033,9853,686,6000,14092,231,1646
02036,9853,686,6000,14092,231,400
02040,9853,686,6000,14092,231,3528
02042,9853,686,6000,14092,231,157
02046,9853,686,6000,14092,231,2195
04492,9853,304,6000,14092,231,1916
04508,9853,282,6000,14092,231,
04509,9853,282,6000,14092,231,
01363,9853,241,6000,14092,231,6485
01364,9853,241,6000,14092,231,613
01552,9853,241,6000,14092,231,5668
01638,9853,241,6000,14092,231,
03119,9853,233,6000,14092,231,26
03547,9853,232,6000,14092,231,3905
02030,9854,686,6000,14093,3601,2379
02085,9854,347,6000,14093,3601,
02088,9854,347,6000,14093,3601,3682
03978,9854,347,6000,14093,3601,
02050,9854,343,6000,14093,3601,248
02077,9854,311,6000,14093,3601,
04393,9855,494,6000,14094,3792,
02054,9855,349,6000,14094,3792,248
03963,9855,348,6000,14094,3792,
03964,9855,348,6000,14094,3792,
02052,9855,347,6000,14094,3792,
04491,9855,304,6000,14094,3792,
03120,9856,493,6000,14095,3806,
03883,9856,469,6000,14095,3806,1241
02090,9856,348,6000,14095,3806,
02091,9856,348,6000,14095,3806,
02097,9856,348,6000,14095,3806,8
02198,9856,170,6000,14095,3806,2323
03405,9857,890,6000,14096,3825,
04483,9857,805,6000,14096,3825,
02065,9857,471,6000,14096,3825,1887
03402,9858,890,6000,14097,3819,
02048,9858,348,6000,14097,3819,3300
02049,9858,348,6000,14097,3819,3300
02055,9858,348,6000,14097,3819,25
03546,9858,232,6000,14097,3819,351
04485,9859,992,6000,14098,322,
04488,9859,992,6000,14098,322,
01253,9859,888,6000,14098,322,2217
02024,9859,686,6000,14098,322,880
